GDP,Health,Freedom,Generosity,Trust
1.333,0.996,0.45,0.348,0.278
1.01216,0.76649,0.30587,0.11921,0.00872
1.48841226100922,0.653133034706116,0.536746919155121,0.172668486833572,0.257042169570923
1.14723,0.73128,0.21342,0.02641,0.01031
0.783756256103516,0.0569157302379608,0.394952565431595,0.230947196483612,0.0261215660721064
0.557,0.292,0.129,0.134,0.093
1.09186446666718,0.617584645748138,0.233335807919502,0.0694366469979286,0.146096110343933
1.148,0.686,0.324,0.106,0.109
1.29121541976929,0.618784427642822,0.402264982461929,0.416608929634094,0.0656007081270218
1.223,0.564,0.575,0.171,0.019
1.29178786277771,0.699475347995758,0.520342111587524,0.158465966582298,0.0593078061938286
1.12486,0.72394,0.53024,0.33075,0.10501
0.721,0.485,0.539,0.172,0.093
0.619,0.44,0.013,0.331,0.141
1.08754,0.61415,0.40425,0.15776,0.14166
1.15687310695648,0.639333188533783,0.249322608113289,0.387242913246155,0.048761073499918
0.586682975292206,0.533241033554077,0.478356659412384,0.172255352139473,0.123717859387398
1.36135590076447,0.519983291625977,0.518630743026733,0.325296461582184,0.0089648161083459
0.0,0.268,0.559,0.243,0.27
1.2167,0.81883,0.37789,0.31595,0.11451
1.09426,0.34752,0.44089,0.12425,0.10769
0.18847,0.43873,0.46582,0.50318,0.39928
1.29947,0.79151,0.53164,0.25738,0.03635
0.741,0.851,0.543,0.147,0.073
0.560479462146759,0.309988349676132,0.452763766050339,0.444860309362411,0.0646413192152977
1.44178,0.79504,0.57941,0.36171,0.44453
0.95847,0.53886,0.4761,0.16979,0.30844
1.12843120098114,0.617144227027893,0.153997123241425,0.0650196298956871,0.0644911229610443
0.83524,0.70806,0.53726,0.40828,0.09179
1.16891,0.78902,0.31751,0.16893,0.03431
1.00761,0.7095,0.56066,0.37744,0.07521
0.97306,0.68613,0.4027,0.10074,0.18037
1.18529546260834,0.695137083530426,0.494519203901291,0.109457060694695,0.059739887714386
0.0921023488044739,0.191407024860382,0.235961347818375,0.246455833315849,0.0602413564920425
0.885,0.553,0.312,0.092,0.107
0.54649,0.40064,0.35571,0.09131,0.07854
0.63069,0.29759,0.0,0.18077,0.10039
1.36066,0.83096,0.58147,0.49401,0.41904
1.46468,0.81231,0.55211,0.47416,0.29927
1.27778,0.94579,0.55011,0.12332,0.20646
0.551,0.723,0.508,0.3,0.023
1.82427,0.71723,0.56679,0.32388,0.48049
1.13062,0.63104,0.29091,0.13942,0.17457
0.091,0.145,0.065,0.149,0.076
1.197,0.716,0.35,0.026,0.006
0.75778,0.16683,0.10384,0.12344,0.07122
0.878114581108093,0.59771066904068,0.408158332109451,0.0322099551558495,0.0877631828188896
1.387,1.009,0.574,0.267,0.373
0.21102,0.33861,0.45727,0.29066,0.07267
0.813,0.604,0.457,0.37,0.167
1.32944,0.89284,0.61576,0.4761,0.31814
0.314,0.254,0.312,0.175,0.128
1.484414935112,0.84388679265976,0.601607382297516,0.477699249982834,0.301183730363846
0.82827,0.63793,0.46611,0.51535,0.0
1.173,0.729,0.41,0.146,0.096
0.367110550403595,0.397522568702698,0.514492034912109,0.838075160980225,0.188816204667091
0.2852,0.38215,0.32878,0.34377,0.05747
0.32846,0.31865,0.5432,0.23552,0.50521
1.10970628261566,0.759509265422821,0.580131649971008,0.214613229036331,0.100106589496136
1.365,0.857,0.418,0.151,0.078
0.4225,0.23402,0.49309,0.20618,0.05786
0.737299203872681,0.653095960617065,0.447551846504211,0.301674216985703,0.130687981843948
1.171,0.732,0.259,0.061,0.022
0.947,0.874,0.383,0.178,0.027
1.10271048545837,0.501180469989777,0.288555532693863,0.19963726401329,0.107215754687786
0.76454,0.67737,0.4035,0.10692,0.11776
1.343,0.914,0.677,0.353,0.138
0.39753,0.60164,0.4082,0.21222,0.12569
1.54625928401947,0.77428662776947,0.505740523338318,0.392578780651093,0.135638788342476
0.59325,0.74314,0.55475,0.27815,0.19317
0.81217,0.47036,0.54854,0.21674,0.11757
0.1327,0.26162,0.38041,0.2097,0.17176
0.131,0.221,0.39,0.175,0.099
0.89373,0.58295,0.46235,0.25296,0.07396
0.69177,0.52309,0.25202,0.19997,0.01903
0.916,0.79,0.419,0.149,0.032
1.39506661891937,0.853144347667694,0.256450712680817,0.17278964817524,0.0280280914157629
1.06353,0.79661,0.5421,0.24434,0.0927
1.034,0.963,0.558,0.144,0.093
0.024,0.01,0.305,0.218,0.038
1.25278460979462,0.819479703903198,0.376895278692245,0.326662421226501,0.0822879821062088
1.28177809715271,0.547349333763123,0.373783111572266,0.0522638224065304,0.0329628810286522
1.383,0.996,0.592,0.252,0.41
0.79907,0.6739,0.25123,0.15275,0.02961
0.97438,0.72521,0.1826,0.1614,0.14296
0.59448,0.61826,0.32818,0.20951,0.01615
0.119041793048382,0.229918196797371,0.332881182432175,0.26654988527298,0.0389482490718365
1.112,0.759,0.597,0.125,0.063
0.987,0.815,0.216,0.166,0.027
1.396,0.999,0.557,0.322,0.298
1.61714,0.63569,0.43166,0.15965,0.23669
0.794,0.789,0.43,0.093,0.074
1.067,0.789,0.235,0.094,0.142
0.06831,0.15747,0.0432,0.2029,0.09419
1.355,0.913,0.659,0.285,0.383
1.12786877155304,0.647239029407501,0.580200731754303,0.572123110294342,0.0316127352416515
0.23906,0.36315,0.22917,0.17441,0.199
1.44357192516327,0.80915766954422,0.617950856685638,0.24548277258873,0.38261154294014
0.65951669216156,0.290920823812485,0.0149958552792668,0.182317450642586,0.089847519993782
1.30782,0.89667,0.5845,0.2225,0.2254
1.036,0.404,0.356,0.032,0.052
0.816,0.666,0.26,0.077,0.028
0.89012,0.81658,0.51697,0.08185,0.02781
1.08254,0.78805,0.25883,0.05444,0.0243
0.786441087722778,0.498272627592087,0.658248662948608,0.415983647108078,0.246528223156929
0.479309022426605,0.409362852573395,0.377922266721725,0.183468893170357,0.115460447967052
1.18306,0.70835,0.48927,0.2418,0.08423
1.268,0.876,0.669,0.365,0.389
1.14372,0.66189,0.46145,0.36951,0.05203
